,uplink,uplink,downlink,downlink
,max,min,max,min
name,,,,
NDH-MP-01-04,5208.44,3218.53,7967.54,5212.48
NTG-MP-01-01,90214.75,40798.9,20352.77,9268.13
NTG-MP-01-02,50548.049999999996,9471.0,33538.2,23165.35
NTN-MP-01-01,13464.41,5111.45,1855.19,1111.33
NTN-MP-01-02,7057.97,4163.63,9361.470000000001,7547.09
NTN-MP-01-03,8949.66,4377.26,5460.48,4250.9
NTN-MP-01-04,6120.1,4418.43,5724.51,4246.11
PTO-MP-01-01,9899.82,0.0,10543.42,7996.110000000001
PTO-MP-01-02,11673.01,0.0,11937.69,8874.04
PYN-MP-01-01,9792.05,0.0,3961.13,0.0
PYN-MP-01-01-NEW,0.0,0.0,0.0,0.0
PYN-MP-01-02,5714.610000000001,0.0,7652.87,0.0
PYN-MP-01-02-NEW,0.0,0.0,0.0,0.0
QBH-MP-01-01,5013.86,3816.68,4808.46,3528.27
QBH-MP-01-02,5518.54,3829.82,5786.03,3966.7799999999997
QNH-MP-01-01,4343.38,0.0,6015.52,2729.95
QNH-MP-01-02,3452.6499999999996,0.0,5179.72,3321.85
QNH-MP-01-03,4211.01,0.0,5455.65,3543.15
QNH-MP-01-04,1323.08,0.0,0.0,0.0
QNH-MP-02-01,9228.11,0.0,7994.82,5990.320000000001
QNH-MP-02-02,10290.79,0.0,9134.15,6742.719999999999
QNH-MP-02-03,3880.71,0.0,4153.03,2666.83
QNH-MP-02-04,2568.84,0.0,2603.6,1405.92
QNH-MP-03-01,7275.02,0.0,7405.82,4280.6900000000005
QNH-MP-03-02,6215.5,0.0,5835.67,4179.7
QNH-MP-03-03,5711.05,0.0,6394.24,4949.08
QNH-MP-03-04,6512.32,0.0,5992.87,4573.0
QNH-MP-04-01,11118.81,0.0,10790.7,5044.93
QNH-MP-04-02,13507.93,0.0,12954.27,4366.27
QNH-MP-04-03,10712.19,0.0,9698.56,5635.01
QNH-MP-04-04,13928.390000000001,0.0,13456.68,6953.280000000001
QNI-MP-01-01,9971.38,5126.91,0.0,0.0
QNI-MP-01-01-NEW,0.0,0.0,0.0,0.0
QNI-MP-01-02,6778.72,3001.56,0.0,0.0
QNI-MP-01-02-NEW,0.0,0.0,0.0,0.0
QNM-MP-01-01,5849.52,4019.12,0.0,0.0
QNM-MP-01-02,6433.530000000001,4859.24,0.0,0.0
QTI-MP-01-01,7168.93,3591.6,0.0,0.0
QTI-MP-01-02,3402.75,2555.1,0.0,0.0
